player,team,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Jamal Shead,TOR,78.0,21.0,0.39,,0.79,,1.0,7.1,1.8,5.2,1.0,0.1,1.4
Jamison Battle,TOR,42.0,12.0,0.46,,0.75,,1.0,5.0,2.2,0.7,0.3,0.1,0.5
Kyle Anderson,TOR,60.0,12.0,0.5,,0.7,,0.0,3.8,2.1,1.8,0.6,0.4,0.5
Nate Bittle,TOR,8.0,9.0,0.5,,0.7,,0.0,2.4,1.8,0.3,0.2,0.6,0.3
RJ Barrett,TOR,67.0,31.0,0.486,,0.725,,1.7,18.5,5.2,3.2,0.7,0.3,1.8
Scottie Barnes,TOR,74.0,34.0,0.501,,0.795,,1.0,20.0,8.0,6.4,1.4,1.3,2.8
Trayce Jackson-Davis,TOR,55.0,8.0,0.6,,0.55,,0.0,3.2,3.2,0.8,0.3,0.5,0.5
Ace Bailey,UTA,74.0,29.0,0.45,,0.77,,2.1,16.5,5.1,2.3,0.9,0.7,1.7
Blake Hinson,UTA,25.0,8.0,0.44,,0.75,,1.0,4.0,1.0,0.4,0.2,0.1,0.3
Brice Sensabaugh,UTA,68.0,18.0,0.455,,0.82,,1.7,10.5,2.7,1.3,0.5,0.2,1.1
Cody Williams,UTA,50.0,8.0,0.44,,0.7,,0.2,3.3,1.5,0.8,0.4,0.2,0.5
Darryn Peterson,UTA,72.0,29.0,0.445,,0.83,,1.8,16.5,4.2,3.4,1.1,0.3,2.1
Isaiah Collier,UTA,70.0,18.0,0.495,,0.73,,0.4,8.5,2.0,5.0,0.8,0.2,1.8
Jaren Jackson Jr,UTA,63.0,31.0,0.475,,0.8,,1.8,19.0,6.0,2.0,1.0,1.6,2.2
Jaxson Hayes,UTA,60.0,12.0,0.72,,0.65,,0.0,4.5,3.0,0.7,0.4,0.6,0.4
John Konchar,UTA,35.0,7.0,0.44,,0.75,,0.2,1.8,1.9,1.0,0.5,0.2,0.3
Josh Okogie,UTA,65.0,11.0,0.42,,0.7,,0.4,3.7,1.9,0.7,0.7,0.2,0.5
Jusuf Nurkic,UTA,58.0,23.0,0.505,,0.62,,0.5,9.5,9.0,3.8,1.0,0.5,2.1
Keyonte George,UTA,68.0,32.0,0.45,,0.88,,2.4,20.5,3.8,6.2,1.0,0.3,3.0
Kyle Filipowski,UTA,72.0,16.0,0.49,,0.75,,0.8,8.0,5.2,1.8,0.6,0.4,1.1
Lauri Markkanen,UTA,55.0,32.0,0.48,,0.89,,2.8,23.5,7.2,2.2,0.9,0.5,1.5
Mo Bamba,UTA,35.0,8.0,0.46,,0.65,,0.4,3.2,3.0,0.4,0.2,0.7,0.4
Svi Mykhailiuk,UTA,60.0,10.0,0.455,,0.85,,0.9,4.5,1.3,0.9,0.3,0.1,0.4
Tamar Bates,UTA,12.0,6.0,0.43,,0.75,,0.4,2.3,1.0,0.4,0.3,0.1,0.4
Trey Alexander,UTA,20.0,7.0,0.43,,0.7,,0.3,2.5,0.8,0.8,0.3,0.1,0.4
AJ Dybantsa,WAS,74.0,32.0,0.461,,0.782,,1.2,18.6,6.1,3.1,1.1,0.6,2.7
Alex Sarr,WAS,57.0,28.0,0.488,,0.715,,1.2,16.5,7.7,2.7,0.8,2.1,1.9
Anthony Davis,WAS,44.0,28.0,0.52,,0.755,,0.4,18.8,10.0,3.0,1.1,1.8,2.0
Anthony Gill,WAS,26.0,8.4,0.5,,0.813,,0.3,3.1,2.0,0.4,0.4,0.2,0.3
Bilal Coulibaly,WAS,68.0,18.0,0.43,,0.755,,0.9,7.9,3.4,1.8,0.9,0.7,1.2
Bub Carrington,WAS,78.0,14.0,0.42,,0.75,,1.0,6.1,2.0,2.8,0.4,0.1,1.2
Cam Whitmore,WAS,47.0,18.7,0.454,,0.679,,1.7,12.3,3.8,0.7,0.6,0.4,1.0
Deandre Ayton,WAS,68.0,16.0,0.635,,0.675,,0.0,7.6,5.4,0.6,0.3,0.6,0.8
Jamir Watkins,WAS,50.0,20.6,0.446,,0.695,,0.9,7.4,3.9,1.3,1.1,0.5,0.8
Julian Reese,WAS,13.0,30.9,0.529,,0.636,,0.0,11.8,10.5,1.8,1.4,0.6,2.5
Justin Champagnie,WAS,36.0,7.8,0.463,,0.0,,0.3,2.3,2.0,0.3,0.2,0.1,0.2
Khris Middleton,WAS,55.0,8.0,0.44,,0.87,,0.3,3.5,1.3,1.1,0.3,0.1,0.5
Kyshawn George,WAS,68.0,28.0,0.445,,0.805,,2.0,14.1,5.0,3.7,1.0,0.8,2.0
Sharife Cooper,WAS,13.0,3.0,0.214,,0.0,,0.1,0.5,0.4,0.4,0.0,0.0,0.5
Trae Young,WAS,55.0,32.0,0.438,,0.875,,2.8,22.4,3.1,10.1,1.0,0.2,4.2
Tre Johnson,WAS,70.0,18.0,0.425,,0.865,,1.7,9.7,2.2,1.5,0.5,0.2,1.2
Tristan Vukcevic,WAS,10.0,15.3,0.433,,0.773,,1.0,8.5,3.6,1.3,0.5,0.7,1.0
Will Riley,WAS,72.0,8.0,0.443,,0.805,,0.6,4.1,1.4,0.7,0.2,0.1,0.5
